REPORTDATE,VALUE
11.10.2019,70225606783.26692
12.10.2019,68540554448.65215
13.10.2019,66839355896.84728
14.10.2019,65192355523.00095
15.10.2019,63642307176.68956
16.10.2019,62214979277.87154
17.10.2019,60923414107.36012
18.10.2019,59771635286.384605
19.10.2019,58757401083.117226
20.10.2019,57874434648.44031
21.10.2019,57113907007.77071
22.10.2019,56465575171.064735
23.10.2019,55918552368.88197
24.10.2019,55461928839.66073
25.10.2019,55085271908.35647
26.10.2019,54778878899.77629
27.10.2019,54533426508.72889
28.10.2019,54340223713.35899
29.10.2019,54191389964.08752
30.10.2019,54079826443.45993
31.10.2019,53999204570.0856
01.11.2019,53943983242.728745
02.11.2019,53909311123.79291
03.11.2019,53891009395.229965
04.11.2019,53885502782.17616
05.11.2019,53889744828.5579
06.11.2019,53901223645.12203
07.11.2019,53917864192.92032
08.11.2019,53937936314.82415
09.11.2019,53960043239.46394
10.11.2019,53983110085.168434
